Year,Temperature,Humidity,Evaporation,Precipitation,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
2004,21.14,46.84,85.1,448.5,49.9875,30.91583333,84.03,51.69916667,16.245,46.45166667,26.69083333,12.30416667,28.39833333,18.88,15.9275,10.42666667,20.11583333,12.08333333,29.0425,28.08,33.60583333,22.69916667,15.3125,36.005
2005,21.74,44.58,80.9,295.2,47.92166667,33.48,87.03333333,53.19166667,17.09,48.40166667,27.0725,12.45583333,29.36833333,14.48916667,16.09583333,10.85583333,20.85416667,12.955,29.33442857,28.03166667,33.97916667,24.4775,15.85833333,36.6025
2006,22.09,48.21,79.76,414.4,45.43666667,33.87916667,85.5975,54.475,17.1175,48.70083333,26.875,12.62166667,28.515,13.3225,16.38833333,10.77416667,21.3425,13.06833333,29.37914286,28.00916667,33.38916667,24.89833333,16.06,36.47166667
2007,21.5,48.47,94.6,273.5,44.75,33.44083333,85.71916667,55.11083333,16.9825,48.98666667,26.65166667,13.14083333,28.28166667,13.67,16.73333333,11.045,21.5575,13.54416667,28.64542857,28.01166667,33.9225,24.79083333,16.36666667,36.39666667
2008,22.02,43.13,103.7,295.2,45.4175,35.52333333,87.24583333,57.40166667,17.9875,50.43666667,27.88833333,13.79166667,29.82083333,16.92,18.18333333,11.98583333,22.36083333,14.51,28.1135,29.13666667,35.52583333,25.78583333,17.32833333,37.59166667
2009,21.48,45.33,87.6,294.2,49.13666667,36.82333333,92.3125,57.91916667,18.78333333,52.75,29.46,15.09666667,31.87583333,20.01583333,19.46,12.95,23.495,15.35166667,29.6225,30.1425,36.96083333,27.03416667,18.70666667,39.70916667
2010,23.24,45.88,85.4,286.6,52.685,37.73166667,92.325,57.84666667,18.61333333,50.81416667,29.21833333,14.1125,32.165,20.64333333,18.45166667,12.4025,23.6375,15.26166667,29.02083333,30.085,35.93666667,27.1225,18.31833333,39.07666667
2011,21.19,49.92,79.7,328.2,85.1625,39.21666667,111.1375,58.40375,19.34166667,51.9975,29.44208333,14.18416667,33.18625,20.75833333,19.15583333,12.62791667,23.805,15.60166667,29.16625,30.32208333,36.1675,27.52583333,18.555,39.2525
2012,21.72,48.83,83.4,286.1,93.18541667,42.40416667,146.9725,58.37291667,20.85625,52.08833333,29.98916667,14.65166667,32.46166667,20.82208333,18.96583333,13.34041667,23.68916667,17.1425,30.31208333,31.58208333,36.19416667,28.15541667,18.95,38.42333333
2013,21.57,51.07,71.1,387,69.19916667,42.49,146.09,64.73666667,20.73166667,58.15916667,36.44916667,19.73583333,31.33916667,26.82416667,23.44,16.68958333,34.71583333,24.19833333,35.96583333,34.39583333,43.84166667,33.74833333,28.01083333,46.09583333
2014,22.22,50.76,75.8,345.2,67.09,42.29366667,136.73,70.66513682,20.87104885,68.46770833,43.26416667,25.72366667,43.59833333,36.00119792,28.6355,18.95701389,44.775,29.75752874,40.71354167,43.23422316,51.09479167,39.47083333,35.78166667,51.84681818
2015,22.15,50.28,74.9,336.6,67.09666667,42.588,127.37,74.07835821,23.16939655,72.30729167,47.10666667,29.41633333,58.70833333,38.88671875,31.80533333,21.23868056,63.30583333,34.81758621,45.69895833,48.80635593,55.27020833,40.1,44.44333333,58.03560606
2016,22.15,48.78,77,333.3,69.44146341,43.725,118.01,77.03358209,25.82801724,65.73708333,45.03791667,33.15791667,62.17291667,36.72041667,34.11291667,23.52034722,69.58958333,39.21206897,45.28416667,53.61245763,74.8544086,40.1,46.59375,64.21378788
2017,23.7,49.18,81,295.5,73.94878049,55.36166667,108.65,79.98880597,28.48663793,72.11,56.45083333,39.81916667,68.6525,39.4,40.45333333,25.80201389,74.84416667,43.60655172,48.01833333,58.41855932,82.66209677,40.1,57.94083333,70.3919697
2018,22.93,52.64,78.1,626.8,78.45609756,51.2125,99.29,82.94402985,31.14525862,79.97708333,64.94416667,47.44375,79.72291667,41.87675,49.90166667,28.08368056,89.91583333,48.00103448,50.84958333,63.22466102,86.08790323,40.1,69.2575,76.57015152
2019,21.66,53.5,95.7,506.2,78.99949187,52.07967593,91.52583333,85.89925373,35.63505747,81.9975,61.0375,45.03625,74.57708333,32.5995,47.53125,34.67034722,78.93916667,56.67272989,47.81375,73.2029096,89.21350806,40.1,69.34583333,82.74833333
2020,22.52,55.54,96.7,392.4,78.55625,53.20365741,102.775,87.5,42.41041667,103.4416667,66.77291667,50.8725,80.07333333,20.41083333,54.39208333,46.44583333,80.54875,64.62291667,47.90625,69.425,111.1236111,40.1,71.71291667,90.8125
2021,22.78,50.43,102.8,194.7,81.84583333,51.51041667,149.8958333,87.5,52.09875,99.78166667,74.475,67.69583333,97.64583333,21.49541667,61.74166667,63.1375,69.58333333,71.225,53.12583333,82.07875,122.2788889,40.1,85.4125,108.1966667
2022,22.05,50.42,94.4,259.3,77.15833333,53.91666667,158.4808333,87.5,63.865,99.72,79.89166667,79.54166667,115.1333333,24.65833333,69.69166667,74.175,91.4375,81.84166667,56.2,92.14166667,116,40.1,93.80833333,120.875
2023,22.98,55.7,91.4,598.2,79.82666667,57.37333333,161.7444444,87.5,70.71388889,99.72,90.13611111,78.2,120.3527778,29.15,79.65555556,80.60833333,101.2083333,87.03055556,58.57685185,105.8611111,116,40.1,94.5,137.5277778
2024,23.69,60.98,83.9,394.5,71.94833333,52.52916667,149.0347222,87.5,58.90527778,99.72,95.33055556,75.75833333,122.6805556,30.69166667,84.95277778,83.59166667,120.5708333,83.41944444,61.58148148,105.6472222,116,40.1,94.5,136.5555556
